Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,Rank,Avg Rank
Hassan Whiteside,SAC,"PF,C",731,638,53,114,27,0.608,0.616,3,64,1527,77,53,59.6
Jarrett Allen,BKN,"PF,C",728,592,94,91,33,0.636,0.67,1,68,1778,79,97,97.9
Taurean Prince,BKN,"SF,PF",725,284,115,19,51,0.422,0.812,126,66,1691,107,212,210.6
Ivica Zubac,LAC,C,725,596,96,77,20,0.578,0.757,0,68,1663,80,164,166.6
OG Anunoby,TOR,"SF,PF",720,337,97,40,89,0.48,0.671,94,68,2009,85,90,89.9
Killian Hayes,DET,"PG,SG",714,174,293,13,68,0.438,0.842,71,66,1635,140,142,134.6
Donte DiVincenzo,MIL,"PG,SG",709,358,172,22,96,0.453,0.746,109,67,1786,96,127,131
Paul Millsap,DEN,"PF,C",704,362,103,40,57,0.481,0.779,58,63,1536,84,145,149.4
Luguentz Dort,OKC,SG,699,185,68,12,65,0.402,0.768,93,67,1888,60,251,180
Aron Baynes,TOR,C,695,423,109,47,20,0.478,0.775,74,63,1578,84,220,197.6
Kentavious Caldwell-Pope,LAL,"PG,SG,SF",695,179,100,14,65,0.454,0.822,108,68,1775,54,213,212.5
Jeremy Lamb,IND,"SG,SF ",693,245,114,24,62,0.45,0.851,65,58,1506,58,159,161
James Wiseman,GSW,C,688,513,66,106,38,0.538,0.699,3,66,1804,85,135,130.5
Luke Kennard,LAC,"SG,SF",679,181,144,9,26,0.451,0.871,115,63,1552,63,138,143.9
Kevin Huerter,ATL,"SG,SF",675,210,200,27,52,0.427,0.802,128,66,1793,88,130,133.2
Bryn Forbes,MIL,"PG,SG",675,136,102,0,30,0.432,0.84,143,66,1501,54,302,272
Elfrid Payton,NYK,PG,671,303,438,26,90,0.437,0.659,33,64,1908,150,147,151.9
Rudy Gay,SAS,"SF,PF",671,327,116,29,36,0.48,0.843,54,66,1357,82,207,205.5
Mikal Bridges,PHO,"SG,SF",671,275,138,40,107,0.479,0.83,92,69,2129,75,89,88.8
Delon Wright,DET,"PG,SG,SF",670,305,267,27,99,0.458,0.788,59,67,1819,87,136,143.4
Naz Reid,MIN,C,669,295,80,52,46,0.437,0.714,77,62,1221,50,400,400
Bobby Portis,MIL,"PF,C",669,362,86,20,32,0.46,0.778,76,65,1318,70,199,200.8
Cameron Johnson,PHO,"SG,SF",665,231,85,26,47,0.438,0.801,148,65,1643,54,169,171.8
Richaun Holmes,SAC,"PF,C",665,415,57,69,47,0.642,0.772,0,66,1465,60,71,85.3
Nemanja Bjelica,SAC,PF,664,376,155,34,47,0.485,0.799,97,68,1681,78,232,207.6
Cody Zeller,CHA,"PF,C",663,418,105,39,45,0.527,0.716,17,63,1546,84,192,195.1
Cam Reddish,ATL,"SG,SF",652,206,81,28,59,0.413,0.805,89,66,1538,97,132,138.7
Mitchell Robinson,NYK,C,648,492,43,148,62,0.721,0.578,0,67,1665,45,38,44.8
Devin Vassell,SAS,SG,647,214,104,30,46,0.47,0.754,92,67,1406,68,400,400
Dwight Powell,DAL,"PF,C",646,372,99,41,51,0.624,0.708,24,66,1635,56,176,175.3
Darius Bazley,OKC,"SF,PF",635,372,68,62,39,0.418,0.724,92,64,1617,74,194,157.9
Daniel Theis,BOS,"PF,C",633,438,110,83,39,0.55,0.759,35,67,1649,63,125,129.8
DeMarcus Cousins,HOU,"PF,C",631,360,126,55,55,0.465,0.727,49,50,1215,121,170,151.4
Justin Holiday,IND,"SG,SF",630,236,105,33,85,0.408,0.842,129,67,1914,60,234,210.7
Jabari Parker,SAC,"SF,PF",627,265,88,19,44,0.511,0.735,38,58,1115,78,222,222.1
Gary Trent Jr.,POR,SG,627,129,74,23,65,0.438,0.803,128,65,1638,58,261,184
Joe Ingles,UTH,"SG,SF",627,241,319,12,58,0.449,0.757,126,68,1854,124,120,124.2
Josh Okogie,MIN,"PG,SG,SF",615,265,104,29,82,0.426,0.785,63,67,1772,91,197,197.5
Tristan Thompson,BOS,"PF,C",614,554,113,48,33,0.523,0.618,8,64,1614,89,160,163
Josh Hart,NOR,"SG,SF",614,354,106,29,63,0.425,0.722,111,66,1712,67,209,208.2
Jeff Green,BKN,"SF,PF,C",613,205,80,23,27,0.484,0.856,71,67,1411,63,243,243.5
Draymond Green,GSW,"PF,C",612,453,446,60,96,0.443,0.735,61,67,2115,174,65,62.7
Langston Galloway,PHO,"PG,SG",612,138,89,10,40,0.422,0.853,123,67,1550,32,312,288
D.J. Augustin,MIL,PG,609,129,259,0,33,0.452,0.877,83,66,1434,83,219,219.7
Troy Brown Jr.,WAS,"SG,SF",608,325,153,6,71,0.447,0.764,55,67,1575,68,167,168
Patty Mills,SAS,PG,608,109,142,6,43,0.426,0.857,115,68,1369,59,290,245
Thaddeus Young,CHI,"SF,PF",603,291,108,20,83,0.474,0.621,59,68,1499,84,183,180.2
Moritz Wagner,WAS,"PF,C",597,320,82,30,40,0.528,0.816,46,61,1251,101,258,251.1
Dario Saric,PHO,"PF,C",595,328,104,11,32,0.464,0.847,83,65,1423,75,168,170.7
Larry Nance Jr.,CLE,"PF,C",594,418,148,32,71,0.53,0.698,49,63,1624,78,119,122.8
Ish Smith,WAS,PG,592,169,257,19,46,0.46,0.724,43,67,1459,74,216,214.4
Patrick Williams,CHI,SF,589,248,97,37,64,0.463,0.753,71,66,1519,61,287,241
Monte Morris,DEN,"PG,SG",582,123,224,11,53,0.473,0.82,61,68,1434,45,217,214.7
Maxi Kleber,DAL,"PF,C",578,351,80,78,25,0.473,0.825,97,68,1694,52,186,183.2
Danuel House Jr.,HOU,"SF,PF,SG",577,237,69,28,57,0.432,0.786,111,63,1695,48,185,181.3
Mason Plumlee,DET,"PF,C",568,431,196,58,51,0.595,0.547,0,64,1507,107,230,226.6
Derrick Favors,UTH,"PF,C",567,482,78,59,36,0.604,0.622,5,64,1372,61,134,139.3
Kent Bazemore,GSW,"SG,SF",563,225,110,32,71,0.396,0.75,75,66,1466,86,229,225.8
James Johnson,DAL,"SF,PF,C",558,257,147,58,41,0.465,0.667,72,59,1445,91,227,225.3
Danny Green,PHI,"SG,SF",558,234,94,38,70,0.427,0.753,127,68,1728,61,187,185
Markieff Morris,LAL,"PF,C",553,252,82,23,34,0.448,0.784,74,66,1306,67,225,223.1
Aaron Holiday,IND,"PG,SG",551,130,186,15,44,0.416,0.843,79,65,1375,72,263,235.8
Shake Milton,PHI,"PG,SG",550,138,146,14,31,0.47,0.787,85,63,1255,69,259,183
Tomas Satoransky,CHI,"PG,SG",548,210,281,7,70,0.45,0.838,57,68,1652,106,178,175.7
DeAndre Jordan,BKN,C,546,638,117,55,22,0.668,0.683,0,66,1478,91,128,131.5
Justise Winslow,MEM,"PF,SF",545,264,184,15,45,0.436,0.634,52,59,1345,92,166,167.7
Marc Gasol,LAL,C,545,391,201,56,49,0.444,0.76,67,62,1605,84,143,147.2
Alex Len,TOR,"PF,C",542,336,59,52,24,0.525,0.652,33,66,1127,60,221,222
Jeff Teague,BOS,"PG,SG",541,110,270,18,38,0.436,0.865,40,58,1204,95,156,156.7
Denzel Valentine,CHI,"SG,SF",539,189,111,13,55,0.421,0.749,100,66,1198,55,308,278
Jordan Poole,GSW,SG,536,113,128,10,32,0.386,0.807,86,65,1240,65,400,400
Kelly Olynyk,MIA,"PF,C",533,273,106,25,37,0.479,0.826,84,67,1231,71,206,204.9
Jaxson Hayes,NOR,C,532,294,63,67,28,0.664,0.654,1,65,1201,53,165,166.6
Trevor Ariza,OKC,"SG,SF",527,284,125,13,71,0.418,0.837,102,64,1611,69,175,174.6
Jalen Brunson,DAL,"PG,SG",524,143,196,5,28,0.479,0.766,47,65,1205,68,296,257
Frank Kaminsky,SAC,"PF,C",523,216,92,15,19,0.475,0.717,54,63,1089,48,400,400
George Hill,OKC,"PG,SG",519,157,150,10,47,0.481,0.825,66,65,1284,55,239,238.9
Austin Rivers,NYK,"PG,SG",516,151,124,13,40,0.413,0.626,73,68,1660,54,272,230.5
Dorian Finney-Smith,DAL,"SF,PF",509,313,89,33,46,0.456,0.726,81,67,1601,57,254,161.5
Jalen Smith,PHO,PF,505,285,42,48,24,0.527,0.729,34,67,1348,64,400,400
Enes Kanter,POR,C,502,419,61,32,20,0.568,0.745,3,61,1011,65,201,202
Dwight Howard,PHI,"PF,C",502,477,44,63,30,0.68,0.52,2,66,1297,80,208,207.6
Rajon Rondo,ATL,PG,499,244,387,7,59,0.417,0.647,63,63,1558,140,223,222.3
Sekou Doumbouya,DET,"SF,PF",498,241,37,18,42,0.402,0.681,53,61,1511,68,196,200.8
Derrick Jones Jr.,POR,"SG,SF,PF",490,243,57,42,55,0.492,0.718,35,60,1366,34,184,181.1
P.J. Tucker,HOU,"PF,C,SF",486,442,94,31,83,0.414,0.763,108,69,2371,63,161,164
Boban Marjanovic,DAL,C,484,322,52,27,17,0.61,0.758,8,61,781,64,260,254
Patrick Beverley,LAC,"PG,SG",483,309,218,30,62,0.422,0.715,98,62,1630,74,171,173.4
Chris Boucher,TOR,"PF,C",476,319,29,78,29,0.465,0.791,43,64,972,34,153,143.1
Matisse Thybulle,PHI,"SG,SF",472,128,99,58,109,0.431,0.651,81,64,1594,64,181,180
Frank Ntilikina,NYK,"PG,SG",471,160,226,23,69,0.391,0.819,65,66,1575,99,277,211
Robin Lopez,WAS,C,469,184,60,47,9,0.554,0.665,17,66,1141,68,305,276
Tyus Jones,MEM,PG,463,120,293,7,65,0.449,0.799,44,67,1367,54,218,215.2
Onyeka Okongwu,ATL,"PF,C",462,251,46,56,31,0.542,0.711,10,63,1097,86,289,244
JaVale McGee,CLE,C,459,363,33,81,29,0.617,0.65,1,67,1083,58,193,196.6
De'Anthony Melton,MEM,"PG,SG",456,226,191,23,79,0.411,0.791,44,65,1252,91,163,165.1
Willie Cauley-Stein,DAL,"PF,C",455,339,89,43,47,0.585,0.571,0,66,1157,43,211,210.5
Keldon Johnson,SAS,SF,450,175,53,8,45,0.505,0.772,34,50,915,40,256,167.5
Reggie Bullock,NYK,"SG,SF",450,119,77,7,34,0.422,0.847,83,62,1316,39,400,400
Harry Giles III,POR,"PF,C",444,263,80,25,32,0.541,0.717,0,63,968,62,214,214.3
Rodney Hood,POR,"SG,SF",442,110,61,9,32,0.47,0.83,63,45,1095,33,235,235.9
Kyle Anderson,MEM,"SF,PF",442,336,167,42,62,0.517,0.637,20,68,1528,74,215,213.6
Willy Hernangomez,NOR,C,434,322,63,21,19,0.555,0.667,12,62,807,68,400,400
Al-Farouq Aminu,ORL,"SF,PF",427,342,67,25,47,0.396,0.813,62,60,1423,49,246,240.4
Kris Dunn,ATL,"PG,SG,SF ",427,180,214,21,71,0.442,0.764,33,62,1259,85,205,203.9
Bruce Brown,FA,SG,427,227,179,28,49,0.449,0.745,28,65,1480,76,400,400
Zach Collins,POR,"PF,C ",420,263,62,52,21,0.48,0.761,37,55,1209,65,180,179.3
JaMychal Green,DEN,"PF,C",417,342,44,23,30,0.457,0.765,68,66,1179,55,231,227.2
DeAndre' Bembry,TOR,"SF,PF,SG",415,236,125,26,77,0.459,0.61,30,64,1316,87,400,400
James Ennis III,ORL,"SG,SF",415,207,54,21,38,0.441,0.767,55,66,1292,45,286,239
Jahlil Okafor,DET,C,406,226,46,36,13,0.587,0.657,1,62,831,50,307,278
Nerlens Noel,NYK,"PF,C",405,309,53,89,61,0.603,0.72,0,65,1162,62,140,146
Royce O'Neale,UTH,SF,400,318,142,25,53,0.452,0.757,74,68,1727,60,191,193.7
Cory Joseph,SAC,"PG,SG",387,175,210,16,52,0.424,0.79,38,69,1511,56,257,245.7
Jordan McLaughlin,MIN,PG,385,84,212,7,62,0.48,0.689,49,62,1073,55,288,242
Jakob Poeltl,SAS,C,381,336,94,76,33,0.643,0.511,0,67,1160,49,155,155.6
Marquese Chriss,GSW,"PF,C",372,251,72,42,31,0.501,0.744,15,62,906,58,137,143.7
Mohamed Bamba,ORL,C,367,315,48,88,23,0.467,0.635,41,59,978,50,249,239.2
Omari Spellman,NYK,"PF,C",366,228,49,27,30,0.441,0.773,42,62,975,48,400,400
Michael Carter-Williams,ORL,"PG,SG",364,171,132,28,55,0.415,0.815,24,55,957,61,284,234
Emmanuel Mudiay,UTH,PG,356,98,106,9,20,0.452,0.768,28,42,717,62,400,400
Mike Muscala,OKC,"PF,C",351,181,56,24,17,0.402,0.831,74,64,933,32,400,400
Isaiah Stewart,DET,"PF,C",351,248,37,45,27,0.526,0.729,4,65,1086,67,400,400
Dennis Smith Jr.,NYK,"PG,SG",338,89,130,11,33,0.403,0.608,30,40,805,76,241,236.3
Noah Vonleh,CHI,"PF,C",329,302,74,24,30,0.489,0.721,24,61,1026,48,306,277
Bismack Biyombo,CHA,"PF,C",321,283,43,47,10,0.561,0.619,0,66,954,47,400,400
JaKarr Sampson,IND,"SG,SF,PF",298,159,28,22,23,0.566,0.686,9,62,834,22,400,400
Andre Iguodala,MIA,"SG,SF",279,185,141,39,40,0.478,0.536,36,62,1156,44,279,219
